num_threads;method;array_size;elapsed_time
1;single;100;0.00040000031731324270
2;critical_section;100;0.92349999977159313858
2;atomic;100;0.00150000050780363381
2;reduction;100;0.00110000019049039111
3;critical_section;100;0.00149999959830893204
3;atomic;100;0.00120000004244502634
3;reduction;100;0.00099999942904105410
4;critical_section;100;0.00159999945026356727
4;atomic;100;0.00110000019049039111
4;reduction;100;0.00100000033853575587
5;critical_section;100;0.00189999991562217474
5;atomic;100;0.00110000019049039111
5;reduction;100;0.00100000033853575587
6;critical_section;100;0.00150000050780363381
6;atomic;100;0.00100000033853575587
6;reduction;100;0.00099999942904105410
7;critical_section;100;0.00170000021171290427
7;atomic;100;0.00100000033853575587
7;reduction;100;0.00100000033853575587
8;critical_section;100;0.00189999991562217474
8;atomic;100;0.00110000019049039111
8;reduction;100;0.00100000033853575587
9;critical_section;100;0.00149999959830893204
9;atomic;100;0.00110000019049039111
9;reduction;100;0.00090000048658112064
10;critical_section;100;0.00180000006366753951
10;atomic;100;0.00120000004244502634
10;reduction;100;0.00100000033853575587
11;critical_section;100;0.00170000021171290427
11;atomic;100;0.00099999942904105410
11;reduction;100;0.00089999957708641887
12;critical_section;100;0.00160000035975826904
12;atomic;100;0.00100000033853575587
12;reduction;100;0.00099999942904105410
13;critical_section;100;0.00159999945026356727
13;atomic;100;0.00110000019049039111
13;reduction;100;0.00090000048658112064
14;critical_section;100;0.00170000021171290427
14;atomic;100;0.00110000019049039111
14;reduction;100;0.00099999942904105410
15;critical_section;100;0.00170000021171290427
15;atomic;100;0.00110000019049039111
15;reduction;100;0.00100000033853575587
16;critical_section;100;0.00160000035975826904
16;atomic;100;0.00110000019049039111
16;reduction;100;0.00099999942904105410
17;critical_section;100;0.00140000065584899858
17;atomic;100;0.00100000033853575587
17;reduction;100;0.00110000019049039111
18;critical_section;100;0.00149999959830893204
18;atomic;100;0.00100000033853575587
18;reduction;100;0.00100000033853575587
19;critical_section;100;0.00149999959830893204
19;atomic;100;0.00120000004244502634
19;reduction;100;0.00100000033853575587
20;critical_section;100;0.00160000035975826904
20;atomic;100;0.00110000019049039111
20;reduction;100;0.00099999942904105410
21;critical_section;100;0.00160000035975826904
21;atomic;100;0.00110000019049039111
21;reduction;100;0.00090000048658112064
22;critical_section;100;0.00139999974635429680
22;atomic;100;0.00100000033853575587
22;reduction;100;0.00100000033853575587
23;critical_section;100;0.00159999945026356727
23;atomic;100;0.00109999928099568933
23;reduction;100;0.00089999957708641887
24;critical_section;100;0.00149999959830893204
24;atomic;100;0.00109999928099568933
24;reduction;100;0.00100000033853575587
25;critical_section;100;0.00170000021171290427
25;atomic;100;0.00110000019049039111
25;reduction;100;0.00099999942904105410
26;critical_section;100;0.00150000050780363381
26;atomic;100;0.00110000019049039111
26;reduction;100;0.00099999942904105410
27;critical_section;100;0.00150000050780363381
27;atomic;100;0.00110000019049039111
27;reduction;100;0.00100000033853575587
28;critical_section;100;0.00159999945026356727
28;atomic;100;0.00099999942904105410
28;reduction;100;0.00100000033853575587
29;critical_section;100;0.00160000035975826904
29;atomic;100;0.00739999995857942849
29;reduction;100;0.00090000048658112064
30;critical_section;100;0.00180000006366753951
30;atomic;100;0.00110000019049039111
30;reduction;100;0.00100000033853575587
31;critical_section;100;0.00180000006366753951
31;atomic;100;0.00110000019049039111
31;reduction;100;0.00089999957708641887
32;critical_section;100;0.00170000021171290427
32;atomic;100;0.00110000019049039111
32;reduction;100;0.00100000033853575587
1;single;100000;0.17949999983102316037
2;critical_section;100000;0.15219999932014616206
2;atomic;100000;0.04059999992023222148
2;reduction;100000;0.04230000013194512576
3;critical_section;100000;0.04080000053363619372
3;atomic;100000;0.04129999979340936989
3;reduction;100000;0.04220000027999049053
4;critical_section;100000;0.27119999958813423291
4;atomic;100000;0.04160000025876797736
4;reduction;100000;0.05289999990054639056
5;critical_section;100000;0.03970000034314580262
5;atomic;100000;0.04170000011072261259
5;reduction;100000;0.04220000027999049053
6;critical_section;100000;0.04090000038559082896
6;atomic;100000;0.03980000019510043785
6;reduction;100000;0.04230000013194512576
7;critical_section;100000;0.04089999947609612718
7;atomic;100000;0.04189999981463188305
7;reduction;100000;0.04220000027999049053
8;critical_section;100000;0.03949999972974183038
8;atomic;100000;0.03970000034314580262
8;reduction;100000;0.04210000042803585529
9;critical_section;100000;0.07939999977679690346
9;atomic;100000;0.04199999966658651829
9;reduction;100000;0.04220000027999049053
10;critical_section;100000;0.04050000006827758625
10;atomic;100000;0.04179999996267724782
10;reduction;100000;0.04220000027999049053
11;critical_section;100000;0.04090000038559082896
11;atomic;100000;0.04189999981463188305
11;reduction;100000;0.04230000013194512576
12;critical_section;100000;0.04070000068168155849
12;atomic;100000;0.05039999996370170265
12;reduction;100000;0.04239999998389976099
13;critical_section;100000;0.03859999924316070974
13;atomic;100000;0.04209999951854115352
13;reduction;100000;0.04239999998389976099
14;critical_section;100000;0.03870000000461004674
14;atomic;100000;0.04179999996267724782
14;reduction;100000;0.04209999951854115352
15;critical_section;100000;0.03870000000461004674
15;atomic;100000;0.04199999966658651829
15;reduction;100000;0.04230000013194512576
16;critical_section;100000;0.03880000076605938375
16;atomic;100000;0.04179999996267724782
16;reduction;100000;0.04230000013194512576
17;critical_section;100000;0.04119999994145473465
17;atomic;100000;0.04190000072412658483
17;reduction;100000;0.04219999937049578875
18;critical_section;100000;0.04079999962414149195
18;atomic;100000;0.04150000040681334212
18;reduction;100000;0.04520000038610305637
19;critical_section;100000;0.04059999992023222148
19;atomic;100000;0.03970000034314580262
19;reduction;100000;0.04219999937049578875
20;critical_section;100000;0.04699999954027589411
20;atomic;100000;0.03980000019510043785
20;reduction;100000;0.04220000027999049053
21;critical_section;100000;0.03870000000461004674
21;atomic;100000;0.03959999958169646561
21;reduction;100000;0.04219999937049578875
22;critical_section;100000;0.04089999947609612718
22;atomic;100000;0.04189999981463188305
22;reduction;100000;0.04220000027999049053
23;critical_section;100000;0.04080000053363619372
23;atomic;100000;0.04189999981463188305
23;reduction;100000;0.04209999951854115352
24;critical_section;100000;0.04090000038559082896
24;atomic;100000;0.04210000042803585529
24;reduction;100000;0.04210000042803585529
25;critical_section;100000;0.04069999977218685672
25;atomic;100000;0.04200000057608122006
25;reduction;100000;0.04220000027999049053
26;critical_section;100000;0.04079999962414149195
26;atomic;100000;0.03970000034314580262
26;reduction;100000;0.04220000027999049053
27;critical_section;100000;0.04100000023754546419
27;atomic;100000;0.04179999996267724782
27;reduction;100000;0.04220000027999049053
28;critical_section;100000;0.04730000000563450158
28;atomic;100000;0.22410000019590370357
28;reduction;100000;0.05520000013348180801
29;critical_section;100000;0.04010000066045904532
29;atomic;100000;0.04189999981463188305
29;reduction;100000;0.04220000027999049053
30;critical_section;100000;0.03920000017387792468
30;atomic;100000;0.04210000042803585529
30;reduction;100000;0.04230000013194512576
31;critical_section;100000;0.03999999989900970832
31;atomic;100000;0.04189999981463188305
31;reduction;100000;0.04220000027999049053
32;critical_section;100000;0.04089999947609612718
32;atomic;100000;0.03960000049119116738
32;reduction;100000;0.04210000042803585529
1;single;100000000;206.96279999992839293554
2;critical_section;100000000;58.08190000061586033553
2;atomic;100000000;64.89080000028479844332
2;reduction;100000000;64.04360000033193500713
3;critical_section;100000000;63.95650000013120006770
3;atomic;100000000;47.19070000010106014088
3;reduction;100000000;48.43429999982618028298
4;critical_section;100000000;48.20490000020072329789
4;atomic;100000000;58.21949999972275691107
4;reduction;100000000;68.25279999975464306772
5;critical_section;100000000;58.03830000058951554820
5;atomic;100000000;53.79719999928056495264
5;reduction;100000000;64.35249999958614353091
6;critical_section;100000000;67.12819999938801629469
6;atomic;100000000;68.42510000024049077183
6;reduction;100000000;67.65500000074098352343
7;critical_section;100000000;68.38569999945320887491
7;atomic;100000000;66.82269999964773887768
7;reduction;100000000;65.34910000027593923733
8;critical_section;100000000;73.16029999947204487398
8;atomic;100000000;61.94619999951100908220
8;reduction;100000000;66.47869999960676068440
9;critical_section;100000000;68.28399999994871905074
9;atomic;100000000;64.35389999933249782771
9;reduction;100000000;56.04840000069089001045
10;critical_section;100000000;48.02599999948142794892
10;atomic;100000000;51.71689999951922800392
10;reduction;100000000;52.70380000001750886440
11;critical_section;100000000;55.10969999977533007041
11;atomic;100000000;58.77550000059272861108
11;reduction;100000000;57.69969999983004527166
12;critical_section;100000000;54.10900000060792081058
12;atomic;100000000;52.29950000011740485206
12;reduction;100000000;56.81029999959719134495
13;critical_section;100000000;56.58920000041689490899
13;atomic;100000000;60.54180000046471832320
13;reduction;100000000;53.63330000000132713467
14;critical_section;100000000;51.30629999985103495419
14;atomic;100000000;50.82369999945512972772
14;reduction;100000000;49.60479999954259255901
15;critical_section;100000000;50.40610000014567049220
15;atomic;100000000;49.00030000044353073463
15;reduction;100000000;51.97980000048119109124
16;critical_section;100000000;48.71240000011312076822
16;atomic;100000000;49.72180000004300381988
16;reduction;100000000;52.45259999992413213477
17;critical_section;100000000;49.95639999924605945125
17;atomic;100000000;50.83509999985835747793
17;reduction;100000000;50.20889999923383584246
18;critical_section;100000000;52.93750000055297277868
18;atomic;100000000;50.34189999969385098666
18;reduction;100000000;51.18750000019645085558
19;critical_section;100000000;53.46639999970648204908
19;atomic;100000000;52.58219999996072147042
19;reduction;100000000;53.33810000047378707677
20;critical_section;100000000;49.05709999911778140813
20;atomic;100000000;55.54819999997562263161
20;reduction;100000000;60.12210000062623294070
21;critical_section;100000000;59.36169999949925113469
21;atomic;100000000;56.21470000005501788110
21;reduction;100000000;60.80270000074960989878
22;critical_section;100000000;51.99180000090564135462
22;atomic;100000000;58.90429999999469146132
22;reduction;100000000;54.58490000000892905518
23;critical_section;100000000;52.19029999989288626239
23;atomic;100000000;49.43670000011479714885
23;reduction;100000000;53.86230000021896557882
24;critical_section;100000000;51.77360000016051344573
24;atomic;100000000;56.51870000019698636606
24;reduction;100000000;52.23539999951753998175
25;critical_section;100000000;48.85550000017246929929
25;atomic;100000000;53.56829999982437584549
25;reduction;100000000;58.51720000009663635865
26;critical_section;100000000;58.95820000023377360776
26;atomic;100000000;50.73619999984657624736
26;reduction;100000000;50.83730000023933826014
27;critical_section;100000000;55.72159999974246602505
27;atomic;100000000;61.46449999960168497637
27;reduction;100000000;59.91209999956481624395
28;critical_section;100000000;60.78179999985877657309
28;atomic;100000000;56.76140000014129327610
28;reduction;100000000;56.71860000074957497418
29;critical_section;100000000;52.80089999996562255546
29;atomic;100000000;52.58680000042659230530
29;reduction;100000000;57.96390000068640802056
30;critical_section;100000000;48.91090000000986037776
30;atomic;100000000;48.11349999999947613105
30;reduction;100000000;52.09389999981794971973
31;critical_section;100000000;50.79010000008565839380
31;atomic;100000000;53.65549999987706542015
31;reduction;100000000;55.14700000003358582035
32;critical_section;100000000;48.04499999954714439809
32;atomic;100000000;55.45639999945706222206
32;reduction;100000000;52.25429999973130179569
1;single;100;0.00039999940781854093
2;critical_section;100;0.02529999983380548656
2;atomic;100;0.00120000004244502634
2;reduction;100;0.00100000033853575587
3;critical_section;100;0.00170000021171290427
3;atomic;100;0.00110000019049039111
3;reduction;100;0.00100000033853575587
4;critical_section;100;0.00180000006366753951
4;atomic;100;0.00120000004244502634
4;reduction;100;0.00100000033853575587
5;critical_section;100;0.00160000035975826904
5;atomic;100;0.00110000019049039111
5;reduction;100;0.00099999942904105410
6;critical_section;100;0.00150000050780363381
6;atomic;100;0.00120000004244502634
6;reduction;100;0.00100000033853575587
7;critical_section;100;0.00159999945026356727
7;atomic;100;0.00110000019049039111
7;reduction;100;0.00100000033853575587
8;critical_section;100;0.00160000035975826904
8;atomic;100;0.00110000019049039111
8;reduction;100;0.00099999942904105410
9;critical_section;100;0.00159999945026356727
9;atomic;100;0.00110000019049039111
9;reduction;100;0.00110000019049039111
10;critical_section;100;0.00160000035975826904
10;atomic;100;0.00120000004244502634
10;reduction;100;0.00110000019049039111
11;critical_section;100;0.00149999959830893204
11;atomic;100;0.00120000004244502634
11;reduction;100;0.00100000033853575587
12;critical_section;100;0.00180000006366753951
12;atomic;100;0.00110000019049039111
12;reduction;100;0.00100000033853575587
13;critical_section;100;0.00170000021171290427
13;atomic;100;0.00110000019049039111
13;reduction;100;0.00109999928099568933
14;critical_section;100;0.00160000035975826904
14;atomic;100;0.00100000033853575587
14;reduction;100;0.00100000033853575587
15;critical_section;100;0.00149999959830893204
15;atomic;100;0.00110000019049039111
15;reduction;100;0.00100000033853575587
16;critical_section;100;0.00160000035975826904
16;atomic;100;0.00120000004244502634
16;reduction;100;0.00099999942904105410
17;critical_section;100;0.00159999945026356727
17;atomic;100;0.00110000019049039111
17;reduction;100;0.00110000019049039111
18;critical_section;100;0.00170000021171290427
18;atomic;100;0.00110000019049039111
18;reduction;100;0.00120000004244502634
19;critical_section;100;0.00160000035975826904
19;atomic;100;0.00109999928099568933
19;reduction;100;0.00099999942904105410
20;critical_section;100;0.00170000021171290427
20;atomic;100;0.00110000019049039111
20;reduction;100;0.00110000019049039111
21;critical_section;100;0.00150000050780363381
21;atomic;100;0.00110000019049039111
