method;num_threads;length;elapsed_time
locks;7;1000000;0.476299999718321
builtin;8;1000000;0.397599999814702
critical;8;1000000;0.453199999810749
atomics;8;1000000;0.331499999902007
locks;8;1000000;0.334299999849463
builtin;9;1000000;0.616700000136916
critical;9;1000000;0.818799999706243
atomics;9;1000000;0.778100000388804
locks;9;1000000;0.736200000119425
builtin;10;1000000;0.711199999841483
critical;10;1000000;0.783000000410539
atomics;10;1000000;0.767700000324112
locks;10;1000000;0.757800000428688
builtin;11;1000000;0.726799999938521
critical;11;1000000;0.704500000210828
atomics;11;1000000;0.731199999790988
locks;11;1000000;0.727199999801087
builtin;12;1000000;0.783899999987625
critical;12;1000000;0.635500000043976
atomics;12;1000000;0.744599999961792
locks;12;1000000;0.722599999789963
builtin;13;1000000;0.683400000070833
critical;13;1000000;0.792700000147306
atomics;13;1000000;0.752400000237685
locks;13;1000000;0.708600000052684
builtin;14;1000000;0.854200000048877
critical;14;1000000;0.762099999974453
atomics;14;1000000;0.845400000343943
locks;14;1000000;0.803099999757251
builtin;15;1000000;0.750600000174018
critical;15;1000000;0.813100000414124
atomics;15;1000000;0.746900000194728
locks;15;1000000;0.715299999683339
builtin;2;100;0.170600000274135
critical;2;100;0.001100000190490
atomics;2;100;0.000699999873177
locks;2;100;0.000800000179879
builtin;3;100;0.032700000247132
critical;3;100;0.001200000042445
atomics;3;100;0.000800000179879
locks;3;100;0.000999999883788
builtin;4;100;0.088399999640387
critical;4;100;0.001200000042445
atomics;4;100;0.000899999577086
locks;4;100;0.001099999735743
builtin;5;100;0.028800000109186
critical;5;100;0.001299999894400
atomics;5;100;0.000800000179879
locks;5;100;0.001200000042445
builtin;6;100;0.026000000161730
critical;6;100;0.001300000349147
atomics;6;100;0.000899999577086
locks;6;100;0.001400000201102
builtin;7;100;0.025300000288553
critical;7;100;0.001800000063668
atomics;7;100;0.000900000031834
locks;7;100;0.001400000201102
builtin;8;100;0.030300000162242
critical;8;100;0.001700000211713
atomics;8;100;0.000999999883788
locks;8;100;0.001599999905011
builtin;9;100;0.106999999843538
critical;9;100;0.173700000232202
atomics;9;100;0.180699999873468
locks;9;100;0.174899999819900
builtin;10;100;0.215000000025611
critical;10;100;0.103500000022905
atomics;10;100;0.186699999630946
locks;10;100;0.187000000096305
builtin;11;100;0.233399999615358
critical;11;100;0.209499999982654
atomics;11;100;0.210199999855831
locks;11;100;0.206199999865930
builtin;12;100;0.242900000102964
critical;12;100;0.230599999667902
atomics;12;100;0.230900000133261
locks;12;100;0.229799999942770
builtin;13;100;0.263800000084302
critical;13;100;0.248100000135310
atomics;13;100;0.245899999754329
locks;13;100;0.246799999786163
builtin;14;100;0.279699999737204
critical;14;100;0.266800000190415
atomics;14;100;0.266400000327849
locks;14;100;0.266499999725056
builtin;15;100;0.316300000122283
critical;15;100;0.293000000056054
atomics;15;100;0.293400000373367
locks;15;100;0.298300000395102
builtin;2;10000;0.187099999948259
critical;2;10000;0.012800000149582
atomics;2;10000;0.011699999959092
locks;2;10000;0.010500000371394
builtin;3;10000;0.060899999880348
critical;3;10000;0.007399999958579
atomics;3;10000;0.007199999799923
locks;3;10000;0.007199999799923
builtin;4;10000;0.030700000024808
critical;4;10000;0.005900000360270
atomics;4;10000;0.005700000201614
locks;4;10000;0.005900000360270
builtin;5;10000;0.030499999866151
critical;5;10000;0.006499999926746
atomics;5;10000;0.005800000053569
locks;5;10000;0.005800000053569
builtin;6;10000;0.030299999707495
critical;6;10000;0.005399999736255
atomics;6;10000;0.004999999873689
locks;6;10000;0.008399999842368
builtin;7;10000;0.036400000226422
critical;7;10000;0.005099999725644
atomics;7;10000;0.004399999852467
locks;7;10000;0.004899999566987
builtin;8;10000;2.393499999925552
critical;8;10000;0.005500000042957
atomics;8;10000;0.004199999693810
locks;8;10000;0.004799999715033
builtin;9;10000;0.132799999846611
critical;9;10000;0.185599999895203
atomics;9;10000;0.176400000327703
locks;9;10000;0.172799999745621
builtin;10;10000;0.236600000334874
critical;10;10000;0.182599999789090
atomics;10;10000;0.201700000161509
locks;10;10000;0.192900000001828
builtin;11;10000;0.271800000064104
critical;11;10000;0.232899999900837
atomics;11;10000;0.210299999707786
locks;11;10000;0.213400000120600
builtin;12;10000;0.261700000010023
critical;12;10000;0.222000000121625
atomics;12;10000;0.257099999998900
locks;12;10000;0.297700000373879
builtin;13;10000;0.308499999846390
critical;13;10000;0.142100000175560
atomics;13;10000;0.253600000178267
locks;13;10000;0.252899999850342
builtin;14;10000;0.443399999767280
critical;14;10000;0.265399999989313
atomics;14;10000;0.276799999937793
locks;14;10000;0.286999999843829
builtin;15;10000;0.316699999984849
critical;15;10000;0.292799999897397
atomics;15;10000;0.289099999918108
locks;15;10000;0.296799999887298
builtin;2;1000000;1.043000000208849
critical;2;1000000;1.003399999717658
atomics;2;1000000;0.988900000265858
locks;2;1000000;0.992600000245147
builtin;3;1000000;0.633500000276399
critical;3;1000000;0.695199999881879
atomics;3;1000000;0.653300000067247
locks;3;1000000;0.675300000239076
builtin;4;1000000;0.498299999890151
critical;4;1000000;0.506100000166043
atomics;4;1000000;0.532900000052905
locks;4;1000000;0.538200000391953
builtin;5;1000000;0.555099999928643
critical;5;1000000;0.606500000230881
atomics;5;1000000;0.530900000285328
locks;5;1000000;1.225299999987328
builtin;6;1000000;0.552099999822531
critical;6;1000000;0.487799999973504
atomics;6;1000000;0.435999999808701
locks;6;1000000;0.445600000148261
builtin;7;1000000;0.436099999660655
critical;7;1000000;0.419200000123965
atomics;7;1000000;0.388899999961723
locks;7;1000000;0.377500000013242
builtin;8;1000000;0.495300000238785
critical;8;1000000;0.358199999936915
atomics;8;1000000;0.341000000389613
locks;8;1000000;0.329200000123819
builtin;9;1000000;0.558300000193412
critical;9;1000000;0.757299999804673
atomics;9;1000000;0.786600000083126
locks;9;1000000;0.785300000188727
builtin;10;1000000;0.754299999698560
critical;10;1000000;0.832499999887659
atomics;10;1000000;0.764400000207388
locks;10;1000000;0.777099999595521
builtin;11;1000000;0.718400000096153
critical;11;1000000;0.704999999925349
atomics;11;1000000;0.728799999706098
locks;11;1000000;0.975399999788351
builtin;12;1000000;0.679399999626185
critical;12;1000000;0.705400000242662
atomics;12;1000000;0.869899999997870
locks;12;1000000;0.658700000258250
builtin;13;1000000;0.903599999674043
critical;13;1000000;0.568599999951402
atomics;13;1000000;0.838599999951839
locks;13;1000000;0.576099999761936
builtin;14;1000000;0.672799999847484
critical;14;1000000;0.655700000152137
atomics;14;1000000;0.685599999997066
locks;14;1000000;0.632199999927252
builtin;15;1000000;0.620300000264251
critical;15;1000000;0.634999999874708
atomics;15;1000000;0.658299999940937
locks;15;1000000;0.626999999894906
builtin;2;100;0.156799999786017
critical;2;100;0.002799999947456
atomics;2;100;0.002299999778188
locks;2;100;0.000799999725132
builtin;3;100;0.025199999981851
critical;3;100;0.001100000190490
atomics;3;100;0.000699999873177
locks;3;100;0.000900000031834
builtin;4;100;0.135899999804678
critical;4;100;0.001000000338536
atomics;4;100;0.000699999873177
locks;4;100;0.000999999883788
builtin;5;100;0.027600000066741
critical;5;100;0.001300000349147
atomics;5;100;0.000900000031834
locks;5;100;0.001100000190490
builtin;6;100;0.024800000119285
critical;6;100;0.001300000349147
atomics;6;100;0.000799999725132
locks;6;100;0.001400000201102
builtin;7;100;0.026299999717594
critical;7;100;0.001500000053056
atomics;7;100;0.000999999883788
locks;7;100;0.001500000053056
builtin;8;100;0.035999999909109
critical;8;100;0.001999999767577
atomics;8;100;0.001000000338536
locks;8;100;0.002000000222324
builtin;9;100;0.096600000233593
critical;9;100;0.169800000094256
atomics;9;100;0.175099999978556
locks;9;100;0.171499999851221
builtin;10;100;0.212299999930110
critical;10;100;0.188500000149361
atomics;10;100;0.188200000138750
locks;10;100;0.190700000075594
builtin;11;100;0.237499999911961
critical;11;100;0.210300000162533
atomics;11;100;0.212499999634019
locks;11;100;0.209999999697175
builtin;12;100;0.265099999978702
critical;12;100;0.230399999963993
atomics;12;100;0.230199999805336
locks;12;100;0.123700000131066
builtin;13;100;0.269699999989825
critical;13;100;0.283800000033807
atomics;13;100;0.254300000051444
locks;13;100;0.252899999850342
builtin;14;100;0.291700000161654
critical;14;100;0.271000000338972
atomics;14;100;0.272899999799847
locks;14;100;0.272499999937281
builtin;15;100;0.308600000153092
critical;15;100;0.291500000002998
atomics;15;100;0.286899999991874
locks;15;100;0.295300000288989
builtin;2;10000;0.174399999650632
critical;2;10000;0.013700000181416
atomics;2;10000;0.010499999916647
locks;2;10000;0.010199999906035
builtin;3;10000;0.052499999583233
critical;3;10000;0.007399999958579
atomics;3;10000;0.007099999947968
locks;3;10000;0.007199999799923
builtin;4;10000;0.029199999971752
critical;4;10000;0.005800000053569
atomics;4;10000;0.005500000042957
locks;4;10000;0.005900000360270
builtin;5;10000;0.030100000003586
critical;5;10000;0.025600000299164
atomics;5;10000;0.006000000212225
locks;5;10000;0.006100000064180
builtin;6;10000;0.029099999665050
critical;6;10000;0.005699999746867
atomics;6;10000;0.005000000328437
locks;6;10000;0.005200000032346
builtin;7;10000;0.034799999866664
critical;7;10000;0.005100000180391
atomics;7;10000;0.004600000011123
locks;7;10000;0.004900000021735
builtin;8;10000;0.033499999972264
critical;8;10000;0.004800000169780
atomics;8;10000;0.004200000148558
locks;8;10000;0.004600000011123
builtin;9;10000;0.116100000013830
critical;9;10000;0.176700000338315
atomics;9;10000;0.173500000073545
locks;9;10000;0.178400000095280
builtin;10;10000;0.219500000184780
critical;10;10000;0.105900000107795
atomics;10;10000;0.192900000001828
locks;10;10000;0.189200000022538
builtin;11;10000;0.221499999952357
critical;11;10000;0.209799999993265
atomics;11;10000;0.209600000289356
locks;11;10000;0.210700000025099
builtin;12;10000;0.242199999775039
critical;12;10000;0.229700000090816
atomics;12;10000;0.230999999985215
locks;12;10000;0.234699999964505
builtin;13;10000;0.267999999778112
critical;13;10000;0.250399999913498
atomics;13;10000;0.250000000050932
locks;13;10000;0.267500000063592
builtin;14;10000;0.278500000149506
critical;14;10000;0.267800000074203
atomics;14;10000;0.271999999768013
locks;14;10000;0.273999999990338
builtin;15;10000;0.322899999900983
critical;15;10000;0.286599999981263
atomics;15;10000;0.293200000214711
locks;15;10000;0.294899999971676
builtin;2;1000000;1.025199999730830
critical;2;1000000;1.001399999950081
atomics;2;1000000;0.978200000190554
locks;2;1000000;0.972100000126375
builtin;3;1000000;0.606600000082835
critical;3;1000000;0.649299999622599
atomics;3;1000000;0.648700000056124
locks;3;1000000;0.660799999877781
builtin;4;1000000;0.462099999822385
critical;4;1000000;0.487499999962893
atomics;4;1000000;0.487199999952281
locks;4;1000000;0.506800000039220
builtin;5;1000000;0.568500000099448
critical;5;1000000;0.567300000057003
atomics;5;1000000;0.524899999618356
locks;5;1000000;0.516799999786599
builtin;6;1000000;0.478099999781989
critical;6;1000000;0.480199999856268
atomics;6;1000000;0.431899999966845
locks;6;1000000;0.432599999840022
builtin;7;1000000;0.450099999852682
critical;7;1000000;0.405600000249251
atomics;7;1000000;0.370700000075885
locks;7;1000000;0.375900000108231
builtin;8;1000000;0.374199999896518
critical;8;1000000;0.357599999915692
atomics;8;1000000;0.324299999647337
locks;8;1000000;0.323600000228907
builtin;9;1000000;0.537899999926594
critical;9;1000000;0.915700000405195
atomics;9;1000000;0.826199999664823
locks;9;1000000;0.974000000041997
builtin;10;1000000;0.712399999883928
critical;10;1000000;0.737200000003213
atomics;10;1000000;0.734300000203802
locks;10;1000000;0.852799999847775
builtin;11;1000000;0.636400000075810
critical;11;1000000;0.778899999659188
atomics;11;1000000;0.731999999970867
locks;11;1000000;0.653999999940424
builtin;12;1000000;0.867300000209070
critical;12;1000000;0.707799999872805
atomics;12;1000000;0.677399999858608
locks;12;1000000;0.615500000094471
builtin;13;1000000;0.823100000161503
critical;13;1000000;0.688199999785866
atomics;13;1000000;0.720199999705073
locks;13;1000000;0.673800000186020
builtin;14;1000000;0.585199999932229
critical;14;1000000;0.614999999925203
atomics;14;1000000;0.580100000206585
locks;14;1000000;0.641399999949499
builtin;15;1000000;0.725200000033510
critical;15;1000000;0.600700000177312
atomics;15;1000000;0.667700000121840
locks;15;1000000;0.608000000283937
builtin;2;100;0.160999999934575
critical;2;100;0.001100000190490
atomics;2;100;0.000600000021223
locks;2;100;0.000900000031834
builtin;3;100;0.030899999728717
critical;3;100;0.001200000042445
atomics;3;100;0.000800000179879
locks;3;100;0.002599999788799
builtin;4;100;0.031300000046031
critical;4;100;0.001400000201102
atomics;4;100;0.000800000179879
locks;4;100;0.001100000190490
builtin;5;100;0.062999999954627
critical;5;100;0.001299999894400
atomics;5;100;0.000799999725132
locks;5;100;0.001099999735743
builtin;6;100;0.036700000237033
critical;6;100;0.001200000042445
atomics;6;100;0.000799999725132
locks;6;100;0.001300000349147
builtin;7;100;0.023200000214274
critical;7;100;0.001299999894400
atomics;7;100;0.000900000031834
locks;7;100;0.001399999746354
builtin;8;100;0.024299999950017
critical;8;100;0.001999999767577
atomics;8;100;0.000999999883788
locks;8;100;0.002000000222324
builtin;9;100;0.099500000033004
critical;9;100;0.171600000157923
atomics;9;100;0.172100000327191
locks;9;100;0.168499999745109
builtin;10;100;0.218000000131724
critical;10;100;0.101099999938015
atomics;10;100;0.185599999895203
locks;10;100;0.185899999905814
builtin;11;100;0.219399999878078
critical;11;100;0.208000000384345
atomics;11;100;0.223399999867979
locks;11;100;0.206900000193855
builtin;12;100;0.228599999900325
critical;12;100;0.228299999889714
atomics;12;100;0.226199999815435
locks;12;100;0.219000000015512
builtin;13;100;0.262499999735155
critical;13;100;0.250500000220200
atomics;13;100;0.247599999966042
locks;13;100;0.254999999924621
builtin;14;100;0.276700000085839
critical;14;100;0.271800000064104
atomics;14;100;0.270000000000437
locks;14;100;0.267699999767501
builtin;15;100;0.309999999899446
critical;15;100;0.286099999811995
atomics;15;100;0.289699999939330
locks;15;100;0.288100000034319
builtin;2;10000;0.172800000200368
critical;2;10000;0.012399999832269
atomics;2;10000;0.010499999916647
locks;2;10000;0.010400000064692
builtin;3;10000;0.032599999940430
critical;3;10000;0.007500000265281
atomics;3;10000;0.006999999641266
locks;3;10000;0.007199999799923
builtin;4;10000;0.029400000130408
critical;4;10000;0.005799999598821
atomics;4;10000;0.005600000349659
locks;4;10000;0.005599999894912
builtin;5;10000;0.031000000035419
critical;5;10000;0.006499999926746
atomics;5;10000;0.005800000053569
locks;5;10000;0.005899999905523
builtin;6;10000;0.029099999665050
critical;6;10000;0.005500000042957
atomics;6;10000;0.005099999725644
locks;6;10000;0.005299999884301
builtin;7;10000;0.035699999898497
critical;7;10000;0.005399999736255
atomics;7;10000;0.004399999852467
locks;7;10000;0.005099999725644
builtin;8;10000;0.033299999813607
critical;8;10000;0.004600000011123
atomics;8;10000;0.004099999841856
locks;8;10000;0.009299999874202
builtin;9;10000;1.572699999996985
critical;9;10000;0.169599999935599
