num_threads;method;n_rows;n_cols;elapsed_time
22;critical_section;1000;1000;0.88610000011613010429
22;reduction;1000;1000;0.88819999996303522494
23;critical_section;1000;1000;0.89400000001660373528
23;reduction;1000;1000;1.67399999986628245097
24;critical_section;1000;1000;0.89259999981550208759
24;reduction;1000;1000;0.88579999987814517226
25;critical_section;1000;1000;0.89239999988421914168
25;reduction;1000;1000;0.90640000007624621503
26;critical_section;1000;1000;0.90629999999691790435
26;reduction;1000;1000;1.11379999998462153599
27;critical_section;1000;1000;0.88660000005802430678
27;reduction;1000;1000;0.88010000013127864804
28;critical_section;1000;1000;0.89739999998528219294
28;reduction;1000;1000;1.00090000000818690751
29;critical_section;1000;1000;1.48019999983262096066
29;reduction;1000;1000;0.88560000017423590180
30;critical_section;1000;1000;0.88469999991502845660
30;reduction;1000;1000;0.89060000004792527761
31;critical_section;1000;1000;0.87959999996201077010
31;reduction;1000;1000;0.93540000011671509128
32;critical_section;1000;1000;0.88759999994181271177
32;reduction;1000;1000;0.88460000006307382137
1;single;10;10;0.00100000011116208043
2;critical_section;10;10;0.00159999990501091816
2;reduction;10;10;0.00129999989439966157
3;critical_section;10;10;0.00150000005305628292
3;reduction;10;10;0.00120000004244502634
4;critical_section;10;10;0.00109999996311671566
4;reduction;10;10;0.00120000004244502634
5;critical_section;10;10;0.00100000011116208043
5;reduction;10;10;0.00120000004244502634
6;critical_section;10;10;0.00100000011116208043
6;reduction;10;10;0.00130000012177333701
7;critical_section;10;10;0.00099999988378840499
7;reduction;10;10;0.00119999981507135089
8;critical_section;10;10;0.00089999980446009431
8;reduction;10;10;0.00120000004244502634
9;critical_section;10;10;0.00100000011116208043
9;reduction;10;10;0.00110000019049039111
10;critical_section;10;10;0.00100000011116208043
10;reduction;10;10;0.00120000004244502634
11;critical_section;10;10;0.00090000003183376975
11;reduction;10;10;0.00130000012177333701
12;critical_section;10;10;0.00129999989439966157
12;reduction;10;10;0.00099999988378840499
13;critical_section;10;10;0.00099999988378840499
13;reduction;10;10;0.00099999988378840499
14;critical_section;10;10;0.00099999988378840499
14;reduction;10;10;0.00120000004244502634
15;critical_section;10;10;0.00090000003183376975
15;reduction;10;10;0.00120000004244502634
16;critical_section;10;10;0.00150000005305628292
16;reduction;10;10;0.00120000004244502634
17;critical_section;10;10;0.00100000011116208043
17;reduction;10;10;0.00109999996311671566
18;critical_section;10;10;0.00099999988378840499
18;reduction;10;10;0.00129999989439966157
19;critical_section;10;10;0.00099999988378840499
19;reduction;10;10;0.00120000004244502634
20;critical_section;10;10;0.00109999996311671566
20;reduction;10;10;0.00109999996311671566
21;critical_section;10;10;0.00139999997372797225
21;reduction;10;10;0.00109999996311671566
22;critical_section;10;10;0.00090000003183376975
22;reduction;10;10;0.00099999988378840499
23;critical_section;10;10;0.00090000003183376975
23;reduction;10;10;0.00109999996311671566
24;critical_section;10;10;0.00090000003183376975
24;reduction;10;10;0.00100000011116208043
25;critical_section;10;10;0.00090000003183376975
25;reduction;10;10;0.00120000004244502634
26;critical_section;10;10;0.00090000003183376975
26;reduction;10;10;0.00109999996311671566
27;critical_section;10;10;0.00119999981507135089
27;reduction;10;10;0.00109999996311671566
28;critical_section;10;10;0.00109999996311671566
28;reduction;10;10;0.00119999981507135089
29;critical_section;10;10;0.00099999988378840499
29;reduction;10;10;0.00109999996311671566
30;critical_section;10;10;0.00090000003183376975
30;reduction;10;10;0.00120000004244502634
31;critical_section;10;10;0.00090000003183376975
31;reduction;10;10;0.00120000004244502634
32;critical_section;10;10;0.00099999988378840499
32;reduction;10;10;0.00109999996311671566
1;single;100;100;0.06230000008144997992
2;critical_section;100;100;0.01059999999597494025
2;reduction;100;100;0.01029999998536368366
3;critical_section;100;100;0.01019999990603537299
3;reduction;100;100;0.01020000013340904843
4;critical_section;100;100;0.01010000005408073775
4;reduction;100;100;0.01010000005408073775
5;critical_section;100;100;0.01020000013340904843
5;reduction;100;100;0.01010000005408073775
6;critical_section;100;100;0.01010000005408073775
6;reduction;100;100;0.00990000012279779185
7;critical_section;100;100;0.04730000000563450158
7;reduction;100;100;0.01010000005408073775
8;critical_section;100;100;0.01010000005408073775
8;reduction;100;100;0.01009999982670706231
9;critical_section;100;100;0.01029999998536368366
9;reduction;100;100;0.01009999982670706231
10;critical_section;100;100;0.01499999984844180290
10;reduction;100;100;0.00999999997475242708
11;critical_section;100;100;0.00999999997475242708
11;reduction;100;100;0.00999999997475242708
12;critical_section;100;100;0.01019999990603537299
12;reduction;100;100;0.00999999997475242708
13;critical_section;100;100;0.01010000005408073775
13;reduction;100;100;0.00989999989542411640
14;critical_section;100;100;0.00999999997475242708
14;reduction;100;100;0.00999999997475242708
15;critical_section;100;100;0.01010000005408073775
15;reduction;100;100;0.04460000013750686776
16;critical_section;100;100;0.02919999997175182216
16;reduction;100;100;0.00999999997475242708
17;critical_section;100;100;0.00999999997475242708
17;reduction;100;100;0.00999999997475242708
18;critical_section;100;100;0.00999999997475242708
18;reduction;100;100;0.01000000020212610252
19;critical_section;100;100;0.00999999997475242708
19;reduction;100;100;0.01010000005408073775
20;critical_section;100;100;0.01010000005408073775
20;reduction;100;100;0.00999999997475242708
21;critical_section;100;100;0.01010000005408073775
21;reduction;100;100;0.00999999997475242708
22;critical_section;100;100;0.01009999982670706231
22;reduction;100;100;0.01009999982670706231
23;critical_section;100;100;0.00999999997475242708
23;reduction;100;100;0.01010000005408073775
24;critical_section;100;100;0.01010000005408073775
24;reduction;100;100;0.01520000000709842425
25;critical_section;100;100;0.01010000005408073775
25;reduction;100;100;0.01010000005408073775
26;critical_section;100;100;0.00999999997475242708
26;reduction;100;100;0.01010000005408073775
27;critical_section;100;100;0.01009999982670706231
27;reduction;100;100;0.01009999982670706231
28;critical_section;100;100;0.01019999990603537299
28;reduction;100;100;0.00999999997475242708
29;critical_section;100;100;0.01010000005408073775
29;reduction;100;100;0.00999999997475242708
30;critical_section;100;100;0.01010000005408073775
30;reduction;100;100;0.01010000005408073775
31;critical_section;100;100;0.01000000020212610252
31;reduction;100;100;0.01010000005408073775
32;critical_section;100;100;0.00999999997475242708
32;reduction;100;100;0.01010000005408073775
1;single;1000;1000;3.97090000001298903953
2;critical_section;1000;1000;0.94919999992271186784
2;reduction;1000;1000;0.95090000013442477211
3;critical_section;1000;1000;0.88189999996757251211
3;reduction;1000;1000;0.88009999990390497260
4;critical_section;1000;1000;0.88070000015250116121
4;reduction;1000;1000;0.90690000001814041752
5;critical_section;1000;1000;0.88579999987814517226
5;reduction;1000;1000;0.87529999996149854269
6;critical_section;1000;1000;0.90260000001762819011
6;reduction;1000;1000;0.96499999995103280526
7;critical_section;1000;1000;0.88249999998879502527
7;reduction;1000;1000;0.87930000017877318896
8;critical_section;1000;1000;0.87589999998272105586
8;reduction;1000;1000;0.87959999996201077010
9;critical_section;1000;1000;0.87540000004082685336
9;reduction;1000;1000;1.01889999996274127625
10;critical_section;1000;1000;1.28119999999398714863
10;reduction;1000;1000;0.89580000008027127478
11;critical_section;1000;1000;0.88929999992615194060
11;reduction;1000;1000;1.05129999997188861016
12;critical_section;1000;1000;0.90879999993376259226
12;reduction;1000;1000;0.89909999996962142177
13;critical_section;1000;1000;0.87910000002011656761
13;reduction;1000;1000;1.10830000016903795768
14;critical_section;1000;1000;0.88240000013684039004
14;reduction;1000;1000;0.88179999988824420143
15;critical_section;1000;1000;0.88340000002062879503
15;reduction;1000;1000;0.93930000002728775144
16;critical_section;1000;1000;0.87759999996706028469
16;reduction;1000;1000;0.98979999984294408932
17;critical_section;1000;1000;1.41499999995176040102
17;reduction;1000;1000;1.45640000005187175702
18;critical_section;1000;1000;1.68670000016390986275
18;reduction;1000;1000;1.28850000010061194189
19;critical_section;1000;1000;1.36249999991377990227
19;reduction;1000;1000;0.89309999998476996552
20;critical_section;1000;1000;1.27580000003035820555
20;reduction;1000;1000;1.60550000009607174434
21;critical_section;1000;1000;3.27940000011039956007
21;reduction;1000;1000;2.59490000007644994184
22;critical_section;1000;1000;1.53109999996559054125
22;reduction;1000;1000;3.15869999985807226039
23;critical_section;1000;1000;2.27939999990667274687
23;reduction;1000;1000;0.89389999993727542460
24;critical_section;1000;1000;0.89000000002670276444
24;reduction;1000;1000;0.89950000005956098903
25;critical_section;1000;1000;0.88690000006863556337
25;reduction;1000;1000;0.88730000015857513063
26;critical_section;1000;1000;0.87910000002011656761
26;reduction;1000;1000;0.92580000000452855602
27;critical_section;1000;1000;1.42929999992702505551
27;reduction;1000;1000;0.88929999992615194060
28;critical_section;1000;1000;0.89149999985238537192
28;reduction;1000;1000;0.87570000005143810995
29;critical_section;1000;1000;0.89090000005853653420
29;reduction;1000;1000;0.89189999994232493918
30;critical_section;1000;1000;1.22089999990748765413
30;reduction;1000;1000;0.89030000003731402103
31;critical_section;1000;1000;0.88849999997364648152
31;reduction;1000;1000;0.90509999995447287802
32;critical_section;1000;1000;1.02909999986877664924
32;reduction;1000;1000;1.14110000004075118341
1;single;10;10;0.00090000003183376975
2;critical_section;10;10;0.00210000007427879609
2;reduction;10;10;0.00109999996311671566
3;critical_section;10;10;0.00180000006366753951
3;reduction;10;10;0.00109999996311671566
4;critical_section;10;10;0.00130000012177333701
4;reduction;10;10;0.00109999996311671566
5;critical_section;10;10;0.00150000005305628292
5;reduction;10;10;0.00109999996311671566
6;critical_section;10;10;0.00150000005305628292
6;reduction;10;10;0.00109999996311671566
7;critical_section;10;10;0.00139999997372797225
7;reduction;10;10;0.00109999996311671566
8;critical_section;10;10;0.00139999997372797225
8;reduction;10;10;0.00109999996311671566
9;critical_section;10;10;0.00169999998433922883
9;reduction;10;10;0.00129999989439966157
10;critical_section;10;10;0.00149999982568260748
10;reduction;10;10;0.00119999981507135089
11;critical_section;10;10;0.00159999990501091816
11;reduction;10;10;0.00120000004244502634
12;critical_section;10;10;0.00139999997372797225
12;reduction;10;10;0.00109999996311671566
13;critical_section;10;10;0.00180000006366753951
13;reduction;10;10;0.00099999988378840499
14;critical_section;10;10;0.00159999990501091816
14;reduction;10;10;0.00119999981507135089
15;critical_section;10;10;0.00169999998433922883
15;reduction;10;10;0.00109999996311671566
16;critical_section;10;10;0.00159999990501091816
16;reduction;10;10;0.00109999996311671566
17;critical_section;10;10;0.00169999998433922883
17;reduction;10;10;0.00109999996311671566
18;critical_section;10;10;0.00159999990501091816
18;reduction;10;10;0.00109999996311671566
19;critical_section;10;10;0.00169999998433922883
19;reduction;10;10;0.00109999996311671566
20;critical_section;10;10;0.00139999997372797225
20;reduction;10;10;0.00120000004244502634
21;critical_section;10;10;0.00150000005305628292
21;reduction;10;10;0.00109999996311671566
22;critical_section;10;10;0.00159999990501091816
22;reduction;10;10;0.00109999996311671566
23;critical_section;10;10;0.00139999997372797225
23;reduction;10;10;0.00119999981507135089
24;critical_section;10;10;0.00159999990501091816
24;reduction;10;10;0.00109999996311671566
25;critical_section;10;10;0.00160000013238459360
25;reduction;10;10;0.00109999996311671566
26;critical_section;10;10;0.00169999998433922883
26;reduction;10;10;0.00110000019049039111
27;critical_section;10;10;0.00189999991562217474
27;reduction;10;10;0.00109999996311671566
28;critical_section;10;10;0.00150000005305628292
28;reduction;10;10;0.00109999996311671566
29;critical_section;10;10;0.00169999998433922883
29;reduction;10;10;0.00099999988378840499
30;critical_section;10;10;0.00150000005305628292
30;reduction;10;10;0.00109999996311671566
31;critical_section;10;10;0.04350000017439015210
31;reduction;10;10;0.00109999996311671566
32;critical_section;10;10;0.00150000005305628292
32;reduction;10;10;0.00109999996311671566
1;single;100;100;0.05519999990610813256
2;critical_section;100;100;0.01079999992725788616
2;reduction;100;100;0.01050000014402030502
3;critical_section;100;100;0.01070000007530325092
3;reduction;100;100;0.01050000014402030502
4;critical_section;100;100;0.01029999998536368366
4;reduction;100;100;0.01020000013340904843
5;critical_section;100;100;0.01019999990603537299
5;reduction;100;100;0.01020000013340904843
6;critical_section;100;100;0.01029999998536368366
6;reduction;100;100;0.01019999990603537299
7;critical_section;100;100;0.01039999983731831890
7;reduction;100;100;0.01029999998536368366
8;critical_section;100;100;0.01029999998536368366
8;reduction;100;100;0.01019999990603537299
9;critical_section;100;100;0.01039999983731831890
9;reduction;100;100;0.01009999982670706231
10;critical_section;100;100;0.01469999983783054631
10;reduction;100;100;0.01739999993333185557
11;critical_section;100;100;0.01049999991664662957
11;reduction;100;100;0.01020000013340904843
12;critical_section;100;100;0.01040000006469199434
12;reduction;100;100;0.01020000013340904843
13;critical_section;100;100;0.01019999990603537299
13;reduction;100;100;0.01019999990603537299
14;critical_section;100;100;0.01029999998536368366
14;reduction;100;100;0.01019999990603537299
15;critical_section;100;100;0.01049999991664662957
15;reduction;100;100;0.01019999990603537299
16;critical_section;100;100;0.01019999990603537299
16;reduction;100;100;0.01020000013340904843
17;critical_section;100;100;0.01029999998536368366
17;reduction;100;100;0.01020000013340904843
18;critical_section;100;100;0.01050000014402030502
18;reduction;100;100;0.01010000005408073775
19;critical_section;100;100;0.01019999990603537299
19;reduction;100;100;0.01019999990603537299
20;critical_section;100;100;0.01029999998536368366
20;reduction;100;100;0.01020000013340904843
21;critical_section;100;100;0.01010000005408073775
21;reduction;100;100;0.01029999998536368366
22;critical_section;100;100;0.01019999990603537299
22;reduction;100;100;0.01029999998536368366
23;critical_section;100;100;0.01039999983731831890
23;reduction;100;100;0.01019999990603537299
24;critical_section;100;100;0.01030000021273735911
24;reduction;100;100;0.01019999990603537299
25;critical_section;100;100;0.01039999983731831890
25;reduction;100;100;0.01019999990603537299
26;critical_section;100;100;0.01040000006469199434
26;reduction;100;100;0.01010000005408073775
27;critical_section;100;100;0.01019999990603537299
27;reduction;100;100;0.01029999998536368366
28;critical_section;100;100;0.01020000013340904843
28;reduction;100;100;0.02419999987068877090
29;critical_section;100;100;0.01050000014402030502
29;reduction;100;100;0.01009999982670706231
30;critical_section;100;100;0.01040000006469199434
30;reduction;100;100;0.01020000013340904843
31;critical_section;100;100;0.01029999998536368366
31;reduction;100;100;0.01769999994394311216
32;critical_section;100;100;0.01059999999597494025
32;reduction;100;100;0.01029999998536368366
1;single;1000;1000;3.98710000013124954421
2;critical_section;1000;1000;0.95329999999194114935
2;reduction;1000;1000;0.87789999997767154127
3;critical_section;1000;1000;0.88279999999940628186
3;reduction;1000;1000;0.88049999999384453986
4;critical_section;1000;1000;1.31750000014108081814
4;reduction;1000;1000;1.70290000005479669198
5;critical_section;1000;1000;0.94200000012278906070
5;reduction;1000;1000;0.88370000003124005161
6;critical_section;1000;1000;0.88349999987258343026
6;reduction;1000;1000;0.87959999996201077010
7;critical_section;1000;1000;0.88349999987258343026
7;reduction;1000;1000;0.88149999987763294484
8;critical_section;1000;1000;0.87609999991400400177
8;reduction;1000;1000;0.87989999997262202669
9;critical_section;1000;1000;0.88689999984126188792
9;reduction;1000;1000;0.98200000002179876901
10;critical_section;1000;1000;0.89649999995344842318
10;reduction;1000;1000;0.88039999991451622918
11;critical_section;1000;1000;0.90690000001814041752
11;reduction;1000;1000;0.89449999995849793777
12;critical_section;1000;1000;0.89440000010654330254
12;reduction;1000;1000;0.93400000014298711903
13;critical_section;1000;1000;1.63059999999859428499
13;reduction;1000;1000;0.89609999986350885592
14;critical_section;1000;1000;0.88859999982560111675
14;reduction;1000;1000;0.97570000002633605618
15;critical_section;1000;1000;0.88329999994130048435
15;reduction;1000;1000;0.88219999997818376869
16;critical_section;1000;1000;0.88269999992007797118
16;reduction;1000;1000;0.88259999984074966051
17;critical_section;1000;1000;0.87600000006204936653
17;reduction;1000;1000;0.87920000009944487829
18;critical_section;1000;1000;0.87999999982457666192
18;reduction;1000;1000;0.87940000003072782420
19;critical_section;1000;1000;0.89159999993171368260
19;reduction;1000;1000;0.88530000016362464521
20;critical_section;1000;1000;0.94710000007580674719
20;reduction;1000;1000;0.89610000009088253137
21;critical_section;1000;1000;0.87630000007266062312
21;reduction;1000;1000;1.02459999993698147591
22;critical_section;1000;1000;0.89389999993727542460
22;reduction;1000;1000;0.88180000011561787687
23;critical_section;1000;1000;0.89500000012776581571
23;reduction;1000;1000;0.87600000006204936653
24;critical_section;1000;1000;0.89389999993727542460
24;reduction;1000;1000;0.88010000013127864804
25;critical_section;1000;1000;0.88770000002114102244
25;reduction;1000;1000;0.97049999999399005901
26;critical_section;1000;1000;0.88220000020555744413
26;reduction;1000;1000;0.87579999990339274518
27;critical_section;1000;1000;0.88219999997818376869
27;reduction;1000;1000;0.88009999990390497260
28;critical_section;1000;1000;0.87989999997262202669
28;reduction;1000;1000;0.87979999989329371601
29;critical_section;1000;1000;0.87589999998272105586
29;reduction;1000;1000;0.90390000013940152712
30;critical_section;1000;1000;0.88000000005195033737
30;reduction;1000;1000;0.88400000004185130820
31;critical_section;1000;1000;1.11659999993207748048
31;reduction;1000;1000;1.12150000018118589651
32;critical_section;1000;1000;0.89539999999033170752
