num_threads;method;array_size;elapsed_time
6;critical_section;100000000;37.24820000002182496246
6;reduction;100000000;38.91169999997146078385
7;critical_section;100000000;33.60139999995226389728
7;reduction;100000000;32.80229999995754042175
8;critical_section;100000000;30.58459999988372146618
8;reduction;100000000;33.37860000010550720617
9;critical_section;100000000;36.08880000001590815373
9;reduction;100000000;42.31640000011793745216
10;critical_section;100000000;36.08880000001590815373
10;reduction;100000000;35.05399999994551762938
11;critical_section;100000000;37.66459999997096019797
11;reduction;100000000;37.57389999987026385497
12;critical_section;100000000;32.62069999982486478984
12;reduction;100000000;36.04169999994155659806
13;critical_section;100000000;30.99049999991621007212
13;reduction;100000000;33.83210000015424157027
14;critical_section;100000000;32.54939999987982446328
14;reduction;100000000;32.57499999995161488187
15;critical_section;100000000;30.62439999985144822858
15;reduction;100000000;33.65299999995841062628
16;critical_section;100000000;31.97109999996428086888
16;reduction;100000000;29.87350000012156669982
17;critical_section;100000000;32.16569999995044781826
17;reduction;100000000;37.83199999998032581061
18;critical_section;100000000;32.14240000011159281712
18;reduction;100000000;35.56880000019191356841
19;critical_section;100000000;32.36029999993661476765
19;reduction;100000000;36.31999999993240635376
20;critical_section;100000000;32.92410000017298443709
20;reduction;100000000;34.27639999995335529093
21;critical_section;100000000;31.73419999984616879374
21;reduction;100000000;33.49780000007740454748
22;critical_section;100000000;31.95779999987280461937
22;reduction;100000000;31.85710000002472952474
23;critical_section;100000000;30.65319999996063415892
23;reduction;100000000;31.33749999983592715580
24;critical_section;100000000;32.56520000013551907614
24;reduction;100000000;31.96590000015930854715
25;critical_section;100000000;33.78730000008545175660
25;reduction;100000000;34.45920000012847594917
26;critical_section;100000000;33.61659999995936232153
26;reduction;100000000;33.75200000004952016752
27;critical_section;100000000;31.45219999987602932379
27;reduction;100000000;34.18169999986275797710
28;critical_section;100000000;31.93630000009761715773
28;reduction;100000000;32.99570000012863602024
29;critical_section;100000000;32.30610000014166871551
29;reduction;100000000;35.56099999991602089722
30;critical_section;100000000;30.51940000000286090653
30;reduction;100000000;31.88739999995959806256
31;critical_section;100000000;33.18620000004557368811
31;reduction;100000000;32.76599999981044675224
32;critical_section;100000000;32.20229999988077906892
32;reduction;100000000;31.39720000012857781257
1;single;100;0.00040000008993956726
2;critical_section;100;0.36109999996369879227
2;reduction;100;0.01499999984844180290
3;critical_section;100;0.39110000011532974895
3;reduction;100;0.00090000003183376975
4;critical_section;100;0.03010000000358559191
4;reduction;100;0.00090000003183376975
5;critical_section;100;0.02829999993991805241
5;reduction;100;0.00090000003183376975
6;critical_section;100;0.02659999995557882357
6;reduction;100;0.00110000019049039111
7;critical_section;100;0.02700000004551839083
7;reduction;100;0.00109999996311671566
8;critical_section;100;0.08579999985158792697
8;reduction;100;0.00120000004244502634
9;critical_section;100;0.10109999993801466189
9;reduction;100;0.15110000003915047273
10;critical_section;100;0.23959999998623970896
10;reduction;100;0.18989999989571515471
11;critical_section;100;0.23610000016560661606
11;reduction;100;0.22109999986241746228
12;critical_section;100;0.25130000017270504031
12;reduction;100;0.24089999988063937053
13;critical_section;100;0.28230000020812440198
13;reduction;100;0.27060000002165907063
14;critical_section;100;0.29740000013589451555
14;reduction;100;0.29169999993428064045
15;critical_section;100;0.32979999991766817402
15;reduction;100;0.15379999990727810655
16;critical_section;100;0.33499999995001417119
16;reduction;100;0.30829999991510703694
17;critical_section;100;0.36730000010720686987
17;reduction;100;0.39620000006834743544
