num_threads;method;n_rows;n_cols;elapsed_time
28;reduction;10;10;0.59390000023995526135
28;nested;10;10;0.55330000031972303987
29;reduction;10;10;0.60320000011415686458
29;nested;10;10;0.57769999875745270401
30;reduction;10;10;0.63650000083725899458
30;nested;10;10;0.60560000019904691726
31;reduction;10;10;0.64910000037343706936
31;nested;10;10;0.62239999897428788245
32;reduction;10;10;0.74400000085006467998
32;nested;10;10;0.64259999999194405973
1;single;100;100;0.04420000004756730050
2;reduction;100;100;0.35519999983080197126
2;nested;100;100;0.05169999894860666245
3;reduction;100;100;0.06199999916134402156
3;nested;100;100;0.03340000148455146700
4;reduction;100;100;0.05260000034468248487
4;nested;100;100;0.04140000055485870689
5;reduction;100;100;0.46149999980116263032
5;nested;100;100;0.02789999962260480970
6;reduction;100;100;0.04600000102072954178
6;nested;100;100;0.02710000080696772784
7;reduction;100;100;0.03850000030070077628
7;nested;100;100;0.02309999945282470435
8;reduction;100;100;0.03939999987778719515
8;nested;100;100;0.02180000046791974455
9;reduction;100;100;0.12299999980314169079
9;nested;100;100;0.19999999858555383980
10;reduction;100;100;0.23959999998623970896
10;nested;100;100;0.19460000112303532660
11;reduction;100;100;0.24210000083257909864
11;nested;100;100;0.12719999904220458120
12;reduction;100;100;0.25790000108827371150
12;nested;100;100;0.24440000015601981431
13;reduction;100;100;0.27279999994789250195
13;nested;100;100;0.25139999888779129833
14;reduction;100;100;0.29449999965436290950
14;nested;100;100;0.26960000104736536741
15;reduction;100;100;0.31119999948714394122
15;nested;100;100;0.29329999961191788316
16;reduction;100;100;0.35919999936595559120
16;nested;100;100;0.32989999999699648470
17;reduction;100;100;0.35360000038053840399
17;nested;100;100;0.33020000046235509217
18;reduction;100;100;0.39789999937056563795
18;nested;100;100;0.35260000004200264812
19;reduction;100;100;0.42199999916192609817
19;nested;100;100;0.38979999953880906105
20;reduction;100;100;0.59060000057797878981
20;nested;100;100;0.39020000076561700553
21;reduction;100;100;0.30029999834368936718
21;nested;100;100;0.42639999992388766259
22;reduction;100;100;0.45380000119621399790
22;nested;100;100;0.43759999971371144056
23;reduction;100;100;0.47149999954854138196
23;nested;100;100;0.46110000039334408939
24;reduction;100;100;0.49679999938234686852
24;nested;100;100;0.47520000043732579798
25;reduction;100;100;0.51239999993413221091
25;nested;100;100;0.52329999925859738141
26;reduction;100;100;0.53130000014789402485
26;nested;100;100;0.51789999997708946466
27;reduction;100;100;0.54989999989629723132
27;nested;100;100;0.56650000078661832958
28;reduction;100;100;0.59250000049360096455
28;nested;100;100;0.57399999968765769154
