num_threads;method;num_iterations;elapsed_time
11;static;10000;1.05020000000877189450
11;dynamic;10000;0.84659999993164092302
11;guided;10000;1.01029999996171682142
12;static;10000;1.11909999986892216839
12;dynamic;10000;1.06660000028568902053
12;guided;10000;1.15009999990434153005
13;static;10000;1.95329999996829428710
13;dynamic;10000;1.08170000021345913410
13;guided;10000;1.09010000005582696758
14;static;10000;1.29249999963576556183
14;dynamic;10000;0.86650000002919114195
14;guided;10000;1.02289999995264224708
15;static;10000;1.03289999970002099872
15;dynamic;10000;1.01009999980306020007
15;guided;10000;0.91920000022582826205
16;static;10000;1.20219999962500878610
16;dynamic;10000;1.13719999990280484781
16;guided;10000;1.32510000003094319254
1;single;1000000;297.57870000003094901331
2;static;1000000;165.87760000038542784750
2;dynamic;1000000;177.06320000024788896553
2;guided;1000000;168.37529999975231476128
3;static;1000000;121.64960000018254504539
3;dynamic;1000000;119.15510000017093261704
3;guided;1000000;129.77269999964846647345
4;static;1000000;98.64239999978963169269
4;dynamic;1000000;105.85230000015144469216
4;guided;1000000;97.17030000001614098437
5;static;1000000;83.40869999983624438755
5;dynamic;1000000;84.29429999978310661390
5;guided;1000000;81.58040000034816330299
6;static;1000000;75.80390000020997831598
6;dynamic;1000000;82.82879999978831619956
6;guided;1000000;80.25720000023284228519
7;static;1000000;75.82079999974666861817
7;dynamic;1000000;68.37150000001201988198
7;guided;1000000;77.74749999998675775714
8;static;1000000;70.85689999985333997756
8;dynamic;1000000;56.40149999999266583472
8;guided;1000000;59.84300000000075669959
9;static;1000000;66.24759999976959079504
9;dynamic;1000000;56.21840000003430759534
9;guided;1000000;59.26420000014331890270
10;static;1000000;66.48750000022118911147
10;dynamic;1000000;54.23969999992550583556
10;guided;1000000;61.48579999990033684298
11;static;1000000;65.32429999970190692693
11;dynamic;1000000;59.02560000004086759873
11;guided;1000000;64.42190000007030903362
12;static;1000000;62.10499999997409759089
12;dynamic;1000000;59.25900000011097290553
12;guided;1000000;64.57079999972847872414
13;static;1000000;74.70629999988886993378
13;dynamic;1000000;70.23819999994884710759
13;guided;1000000;60.91560000004392350093
14;static;1000000;59.71240000008037895896
14;dynamic;1000000;55.52140000008876086213
14;guided;1000000;56.39780000001337612048
15;static;1000000;58.23209999971368233673
15;dynamic;1000000;55.11870000009366776794
15;guided;1000000;59.21669999997902777977
16;static;1000000;59.64559999983976013027
16;dynamic;1000000;55.56209999986094771884
16;guided;1000000;61.25079999992522061802
1;single;100;0.03239999978177365847
2;static;100;0.29390000008788774721
2;dynamic;100;0.02060000042547471821
2;guided;100;0.02099999983329325914
3;static;100;0.06989999974393867888
3;dynamic;100;0.01470000006520422176
3;guided;100;0.01290000000153668225
4;static;100;0.13029999990976648405
4;dynamic;100;0.01209999982165754773
4;guided;100;0.01139999994848039933
5;static;100;0.05999999984851456247
5;dynamic;100;0.01040000006469199434
5;guided;100;0.01040000006469199434
6;static;100;0.05640000017592683434
6;dynamic;100;0.01050000037139398046
6;guided;100;0.00899999986359034665
7;static;100;0.05549999968934571370
7;dynamic;100;0.00920000002224696800
7;guided;100;0.00850000014906981960
8;static;100;0.06510000002890592441
8;dynamic;100;0.00939999972615623847
8;guided;100;0.00829999999041319825
9;static;100;0.10789999987537157722
9;dynamic;100;0.29960000028950162232
9;guided;100;0.28689999999187421054
10;static;100;0.35849999994752579369
10;dynamic;100;0.32009999995352700353
10;guided;100;0.33179999991261865944
11;static;100;0.41169999985868344083
11;dynamic;100;0.35219999972468940541
11;guided;100;0.35489999982019071467
12;static;100;0.46320000001287553459
12;dynamic;100;0.39920000017446000129
12;guided;100;0.40249999983643647283
13;static;100;0.47219999987646588124
13;dynamic;100;0.24829999983921879902
13;guided;100;0.40029999991020304151
14;static;100;0.49510000008012866601
14;dynamic;100;0.45790000012857490219
14;guided;100;0.45590000036099809222
15;static;100;0.52809999988312483765
15;dynamic;100;0.50920000012411037460
15;guided;100;0.50800000008166534826
16;static;100;0.58269999999538413249
16;dynamic;100;0.51399999983914312907
16;guided;100;0.51529999973354279064
1;single;10000;3.18490000017845886759
2;static;10000;1.93600000011429074220
2;dynamic;10000;1.63509999993038945831
2;guided;10000;2.13540000004286412150
3;static;10000;4.17999999990570358932
3;dynamic;10000;1.25159999970492208377
3;guided;10000;1.29530000003796885721
4;static;10000;1.14660000008370843716
4;dynamic;10000;0.98870000010720104910
4;guided;10000;0.98359999992680968717
5;static;10000;0.89269999989483039826
5;dynamic;10000;0.78579999990324722603
5;guided;10000;0.85659999967901967466
6;static;10000;0.81279999994876561686
6;dynamic;10000;0.68209999972168589011
6;guided;10000;0.67209999997430713847
7;static;10000;0.67830000034518889152
7;dynamic;10000;0.58750000016516423784
7;guided;10000;0.62179999986256007105
8;static;10000;0.63850000015008845367
8;dynamic;10000;0.52259999984016758390
8;guided;10000;0.81090000003314344212
9;static;10000;1.07049999996888800524
9;dynamic;10000;0.79200000027412897907
9;guided;10000;0.89759999991656513885
10;static;10000;1.17640000007668277249
10;dynamic;10000;0.81090000003314344212
10;guided;10000;1.14170000006197369657
11;static;10000;1.36800000018411083147
11;dynamic;10000;0.84330000026966445148
11;guided;10000;1.06069999992541852407
12;static;10000;1.12069999977393308654
12;dynamic;10000;0.90640000007624621503
12;guided;10000;1.03929999977481202222
13;static;10000;1.52719999960027053021
13;dynamic;10000;1.04109999983847956173
13;guided;10000;0.92730000005758483894
14;static;10000;1.16710000020248116925
14;dynamic;10000;0.86380000038843718357
14;guided;10000;0.91500000007727066986
15;static;10000;1.19820000008985516615
15;dynamic;10000;1.08090000003357999958
15;guided;10000;1.37319999976170947775
16;static;10000;1.38740000011239317246
16;dynamic;10000;1.13349999992351513356
16;guided;10000;0.83140000015191617422
1;single;1000000;326.08130000016899430193
2;static;1000000;171.03139999971972429194
2;dynamic;1000000;164.92220000009183422662
2;guided;1000000;155.25589999970179633237
3;static;1000000;117.78050000020812149160
3;dynamic;1000000;112.63959999996586702764
3;guided;1000000;116.72029999999722349457
4;static;1000000;96.00339999997231643647
4;dynamic;1000000;94.09169999980804277584
4;guided;1000000;100.27519999994183308445
5;static;1000000;84.36219999975946848281
5;dynamic;1000000;79.95260000006965128705
5;guided;1000000;81.30789999995613470674
6;static;1000000;70.63639999978477135301
6;dynamic;1000000;67.57490000018151476979
6;guided;1000000;73.45850000001519219950
7;static;1000000;68.04289999990942305885
7;dynamic;1000000;59.52690000003713066690
7;guided;1000000;62.84310000000914442353
8;static;1000000;59.57600000010643270798
8;dynamic;1000000;58.24260000008507631719
8;guided;1000000;58.84259999993446399458
9;static;1000000;73.47040000013294047676
9;dynamic;1000000;63.35239999998520943336
9;guided;1000000;60.09020000010423245840
10;static;1000000;61.76480000021911109798
10;dynamic;1000000;55.60900000000401632860
10;guided;1000000;63.51440000025831977837
11;static;1000000;61.43549999978858977556
11;dynamic;1000000;54.31029999999736901373
11;guided;1000000;58.63120000003618770279
12;static;1000000;61.78309999995690304786
12;dynamic;1000000;54.83480000020790612325
12;guided;1000000;66.17920000007870839909
13;static;1000000;66.19870000031369272619
13;dynamic;1000000;57.20089999977062689140
13;guided;1000000;58.71269999988726340234
14;static;1000000;64.58410000004732864909
14;dynamic;1000000;59.92439999999987776391
14;guided;1000000;63.57699999989563366398
15;static;1000000;60.98059999976612743922
15;dynamic;1000000;54.73669999992125667632
15;guided;1000000;56.30650000011883093975
16;static;1000000;65.04239999958372209221
16;dynamic;1000000;56.53230000007170019671
16;guided;1000000;58.70920000006663030945
1;single;100;0.03370000013092067093
2;static;100;0.31080000007932540029
2;dynamic;100;0.03960000003644381650
2;guided;100;0.02099999983329325914
3;static;100;0.29280000035214470699
3;dynamic;100;0.01599999995960388333
3;guided;100;0.01440000005459296517
4;static;100;0.18060000002151355147
4;dynamic;100;0.01259999999092542566
4;guided;100;0.01220000012835953385
5;static;100;0.06299999995462712832
5;dynamic;100;0.01130000009652576409
5;guided;100;0.01010000005408073775
6;static;100;0.05779999992228113115
6;dynamic;100;0.01060000022334861569
6;guided;100;0.00890000001163571142
7;static;100;0.05740000005971523933
7;dynamic;100;0.02700000004551839083
7;guided;100;0.08569999999963329174
8;static;100;0.06769999981770524755
8;dynamic;100;0.00880000015968107618
8;guided;100;0.00760000011723604985
9;static;100;0.12479999986680923030
9;dynamic;100;0.29379999978118576109
9;guided;100;0.28269999984331661835
10;static;100;0.38339999991876538843
10;dynamic;100;0.27450000015960540622
10;guided;100;0.34249999998792191036
11;static;100;0.41529999998601851985
11;dynamic;100;0.36090000003241584636
11;guided;100;0.35320000006322516128
12;static;100;0.43939999977737898007
12;dynamic;100;0.39030000016282428987
12;guided;100;0.38799999992988887243
13;static;100;0.48179999976127874106
13;dynamic;100;0.24430000030406517908
13;guided;100;0.41520000013406388462
14;static;100;0.49730000000636209734
14;dynamic;100;0.46930000007705530152
14;guided;100;0.46689999999216524884
15;static;100;0.51010000015594414435
15;dynamic;100;0.48830000014277175069
15;guided;100;0.50280000004931935109
16;static;100;0.57269999979325802997
16;dynamic;100;0.52100000038990401663
16;guided;100;0.56499999982406734489
1;single;10000;3.41350000007878406905
2;static;10000;1.85940000028494978324
2;dynamic;10000;1.70620000017152051441
2;guided;10000;1.66820000004008761607
3;static;10000;1.18519999978161649778
3;dynamic;10000;1.20450000031269155443
3;guided;10000;1.23279999979786225595
4;static;10000;1.16579999985333415680
4;dynamic;10000;1.08509999972739024088
4;guided;10000;0.98370000023351167329
5;static;10000;0.89329999991605291143
5;dynamic;10000;0.77280000004975590855
5;guided;10000;1.12339999986943439581
6;static;10000;0.79529999993610545062
6;dynamic;10000;0.69569999959639972076
6;guided;10000;0.81499999987499904819
7;static;10000;1.44419999969613854773
7;dynamic;10000;0.68770000007134512998
7;guided;10000;0.91080000038346042857
8;static;10000;3.82810000019162544049
8;dynamic;10000;0.66560000004756147973
8;guided;10000;0.60870000015711411834
