num_threads;method;num_rects;elapsed_time
1;single;100;0.00040000304579734802
2;critical_section;100;0.04350000381236895919
2;atomic;100;0.00120000186143442988
2;reduction;100;0.00070000533014535904
3;critical_section;100;0.03280000237282365561
3;atomic;100;0.00100000033853575587
3;reduction;100;0.00079999881563708186
4;critical_section;100;0.04059999628225341439
4;atomic;100;0.00100000033853575587
4;reduction;100;0.00069999805418774486
5;critical_section;100;0.04099999932805076241
5;atomic;100;0.00100000033853575587
5;reduction;100;0.00089999957708641887
6;critical_section;100;0.03949999518226832151
6;atomic;100;0.00110000109998509288
6;reduction;100;0.00110000109998509288
7;critical_section;100;1.50070000381674617529
7;atomic;100;0.00129999534692615271
7;reduction;100;0.00119999458547681570
8;critical_section;100;2.91180000203894451261
8;atomic;100;0.01419999898644164205
8;reduction;100;0.00119999458547681570
9;critical_section;100;0.16870000399649143219
9;atomic;100;0.21249999554129317403
9;reduction;100;0.24169999960577115417
10;critical_section;100;0.31319999834522604942
10;atomic;100;0.25430000096093863249
10;reduction;100;0.24039999698288738728
11;critical_section;100;0.33470000198576599360
11;atomic;100;0.28180000663269311190
11;reduction;100;0.27260000206297263503
12;critical_section;100;0.34520000190241262317
12;atomic;100;0.29029999859631061554
12;reduction;100;0.32739999733166769147
13;critical_section;100;0.37999999767635017633
13;atomic;100;0.31029999809106811881
13;reduction;100;0.31789999775355681777
14;critical_section;100;0.39490000199293717742
14;atomic;100;0.33109999640146270394
14;reduction;100;0.33390000317012891173
15;critical_section;100;0.42219999886583536863
15;atomic;100;0.36199999885866418481
15;reduction;100;0.19640000391518697143
16;critical_section;100;0.40399999852525070310
16;atomic;100;0.38389999826904386282
16;reduction;100;0.38070000300649553537
17;critical_section;100;0.43839999852934852242
17;atomic;100;0.41799999598879367113
17;reduction;100;0.41859999328153207898
18;critical_section;100;0.47890000132611021399
18;atomic;100;0.41950000013457611203
18;reduction;100;0.43510000250535085797
19;critical_section;100;0.68550000287359580398
19;atomic;100;0.46209999709390103817
19;reduction;100;0.50709999777609482408
20;critical_section;100;0.54570000065723434091
20;atomic;100;0.49869999929796904325
20;reduction;100;0.55910000082803890109
21;critical_section;100;0.76230000559007748961
21;atomic;100;0.57689999812282621861
21;reduction;100;0.51870000606868416071
22;critical_section;100;0.60749999829567968845
22;atomic;100;0.49810000200523063540
22;reduction;100;0.52470000082394108176
23;critical_section;100;0.61390000337269157171
23;atomic;100;0.32310000096913427114
23;reduction;100;0.55229999998118728399
24;critical_section;100;0.63669999508420005441
24;atomic;100;0.77779999992344528437
24;reduction;100;0.89880000450648367405
25;critical_section;100;0.61679999635089188814
25;atomic;100;0.58849999913945794106
25;reduction;100;0.53550000302493572235
26;critical_section;100;0.55869999778224155307
26;atomic;100;0.51099999836878851056
26;reduction;100;0.53770000522490590811
27;critical_section;100;0.71529999695485457778
27;atomic;100;0.55340000108117237687
27;reduction;100;0.56749999930616468191
28;critical_section;100;0.59610000607790425420
28;atomic;100;0.55699999938951805234
28;reduction;100;0.61270000151125714183
29;critical_section;100;0.77469999814638867974
29;atomic;100;0.63610000506741926074
29;reduction;100;0.64289999863831326365
30;critical_section;100;0.72119999822461977601
30;atomic;100;0.65670000185491517186
30;reduction;100;0.71089999983087182045
31;critical_section;100;0.75649999780580401421
31;atomic;100;0.64270000439137220383
31;reduction;100;0.65100000210804864764
32;critical_section;100;0.79879999975673854351
32;atomic;100;0.65220000396948307753
32;reduction;100;0.64199999906122684479
1;single;10000;0.02469999890308827162
2;critical_section;10000;0.39440000546164810658
2;atomic;10000;0.02839999797288328409
2;reduction;10000;0.02020000101765617728
3;critical_section;10000;0.34990000131074339151
3;atomic;10000;0.01489999704062938690
3;reduction;10000;0.01369999517919495702
4;critical_section;10000;0.05100000271340832114
4;atomic;10000;0.01270000211661681533
4;reduction;10000;0.01250000059371814132
5;critical_section;10000;0.04069999704370275140
5;atomic;10000;0.01039999915519729257
5;reduction;10000;0.01019999763229861856
6;critical_section;10000;0.03790000482695177197
6;atomic;10000;0.00890000228537246585
6;reduction;10000;0.00879999424796551466
7;critical_section;10000;0.04629999602911993861
7;atomic;10000;0.00800000270828604698
7;reduction;10000;0.00800000270828604698
8;critical_section;10000;1.02530000003753229976
8;atomic;10000;0.00710000313119962811
8;reduction;10000;0.00719999661669135094
9;critical_section;10000;0.09470000077271834016
9;atomic;10000;0.17360000492772087455
9;reduction;10000;0.19470000552246347070
10;critical_section;10000;0.24859999393811449409
10;atomic;10000;0.21260000357870012522
10;reduction;10000;0.27199999749427661300
11;critical_section;10000;0.27719999343389645219
11;atomic;10000;0.22770000214222818613
11;reduction;10000;0.21320000087143853307
12;critical_section;10000;0.26449999859323725104
12;atomic;10000;0.25659999664640054107
12;reduction;10000;0.23460000375052914023
13;critical_section;10000;0.28870000096503645182
13;atomic;10000;0.25390000519109889865
13;reduction;10000;0.25759999698493629694
14;critical_section;10000;0.31329999910667538643
14;atomic;10000;0.15170000551734119654
14;reduction;10000;0.29300000460352748632
15;critical_section;10000;0.42879999818978831172
15;atomic;10000;0.32970000029308721423
15;reduction;10000;0.31259999377653002739
16;critical_section;10000;0.37930000689812004566
16;atomic;10000;0.45880000106990337372
16;reduction;10000;0.37720000545959919691
17;critical_section;10000;0.47489999997196719050
17;atomic;10000;0.41929999861167743802
17;reduction;10000;0.42940000275848433375
18;critical_section;10000;0.49690000014379620552
18;atomic;10000;0.42040000698762014508
18;reduction;10000;0.43079999886685982347
19;critical_section;10000;0.45690000115428119898
19;atomic;10000;0.39749999996274709702
19;reduction;10000;0.40420000004814937711
20;critical_section;10000;0.46809999912511557341
20;atomic;10000;0.39670000114711001515
20;reduction;10000;0.40830000216374173760
21;critical_section;10000;0.45530000352300703526
21;atomic;10000;0.21220000053290277719
21;reduction;10000;0.42859999666688963771
22;critical_section;10000;0.46930000098655000329
22;atomic;10000;0.43970000115223228931
22;reduction;10000;0.42309999844292178750
23;critical_section;10000;0.47350000386359170079
23;atomic;10000;0.46860000293236225843
23;reduction;10000;0.47790000098757445812
24;critical_section;10000;0.51720000192290171981
24;atomic;10000;0.51880000683013349771
24;reduction;10000;0.48619999870425090194
25;critical_section;10000;0.53509999997913837433
25;atomic;10000;0.49220000073546543717
25;reduction;10000;0.54059999820310622454
26;critical_section;10000;0.55650000285822898149
26;atomic;10000;0.51299999904586002231
26;reduction;10000;0.52260000666137784719
27;critical_section;10000;1.13380000402685254812
27;atomic;10000;0.78130000474629923701
27;reduction;10000;0.67459999991115182638
28;critical_section;10000;0.78619999840157106519
28;atomic;10000;0.68420000025071203709
28;reduction;10000;0.70979999873088672757
29;critical_section;10000;0.76029999763704836369
29;atomic;10000;0.71800000296207144856
29;reduction;10000;0.73540000448701903224
30;critical_section;10000;0.81059999502031132579
30;atomic;10000;0.66859999787993729115
30;reduction;10000;0.62629999592900276184
31;critical_section;10000;0.75260000448906794190
