method;num_threads;elapsed_time
guided;27;0.006500000381493
static;28;0.005699999746867
dynamic;28;0.010600000678096
guided;28;0.006199999916134
static;29;0.005699999746867
dynamic;29;0.006300000677584
guided;29;0.006800000846852
static;30;0.005800000508316
dynamic;30;0.006099999154685
guided;30;0.006200001735124
static;31;0.006099999154685
dynamic;31;0.006000000212225
guided;31;0.006100000973674
single;1;0.054899999668123
static;2;0.006300000677584
dynamic;2;0.006700000085402
guided;2;0.006599999323953
static;3;0.017500000467408
dynamic;3;0.006399999620044
guided;3;0.006700000085402
static;4;0.006000000212225
dynamic;4;0.006599999323953
guided;4;0.006399999620044
static;5;0.005799998689326
dynamic;5;0.006599999323953
guided;5;0.006700000085402
static;6;0.005800000508316
dynamic;6;0.006199999916134
guided;6;0.006299998858594
static;7;0.006000000212225
dynamic;7;0.006400001439033
guided;7;0.006300000677584
static;8;0.006199999916134
dynamic;8;0.006299998858594
guided;8;0.006399999620044
static;9;0.005700001565856
dynamic;9;0.006300000677584
guided;9;0.006799999027862
static;10;0.049500000386615
dynamic;10;0.177899999471265
guided;10;0.006899999789312
static;11;0.010199999451288
dynamic;11;0.006400001439033
guided;11;0.006700000085402
static;12;0.005900001269765
dynamic;12;0.006299998858594
guided;12;0.006399999620044
static;13;0.005800000508316
dynamic;13;0.006300000677584
guided;13;0.006100000973674
static;14;0.006000000212225
dynamic;14;0.006199999916134
guided;14;0.006599999323953
static;15;0.005899999450776
dynamic;15;0.006099999154685
guided;15;0.006399999620044
static;16;0.005800000508316
dynamic;16;0.006100000973674
guided;16;0.006300000677584
static;17;0.005699999746867
dynamic;17;0.006299998858594
guided;17;0.006199999916134
static;18;0.005900001269765
dynamic;18;0.006100000973674
guided;18;0.006600001142942
static;19;0.005699999746867
dynamic;19;0.006100000973674
guided;19;0.006199999916134
static;20;0.005899999450776
dynamic;20;0.006000000212225
guided;20;0.006899999789312
static;21;0.005700001565856
dynamic;21;0.006199999916134
guided;21;0.006399999620044
static;22;0.006000000212225
dynamic;22;0.006099999154685
guided;22;0.006599999323953
static;23;0.005899999450776
dynamic;23;0.006100000973674
guided;23;0.006800000846852
static;24;0.005900001269765
dynamic;24;0.006100000973674
guided;24;0.006300000677584
static;25;0.005699999746867
dynamic;25;0.006199999916134
guided;25;0.006500000381493
static;26;0.005699999746867
dynamic;26;0.006100000973674
guided;26;0.006100000973674
static;27;0.010699999620556
dynamic;27;0.006099999154685
guided;27;0.006199999916134
static;28;0.006099999154685
dynamic;28;0.006199999916134
guided;28;0.006400001439033
static;29;0.005899999450776
dynamic;29;0.006500000381493
guided;29;0.006700000085402
static;30;0.005800000508316
dynamic;30;0.006300000677584
guided;30;0.006300000677584
static;31;0.005999998393236
dynamic;31;0.006500000381493
guided;31;0.006700000085402
single;1;0.062600000092061
static;2;0.006700000085402
dynamic;2;0.006399999620044
guided;2;0.006899999789312
static;3;0.005999998393236
dynamic;3;0.006399999620044
guided;3;0.006399999620044
static;4;0.005800000508316
